data_range,n_samples,theoretical_prob,empirical_prob,trials_used,discriminability,lambda_sigma_ratio,log_gram_det,discrepancy
0.1,100,0.0,0.0,500,0.00010692079474522311,0.5,-47.007920496009376,0.0
0.1,300,0.0,0.0,500,0.0003089537655024813,0.5,-43.594121074138656,0.0
0.1,500,0.0,0.0,500,0.0005024511889484393,0.5,-42.06529515715353,0.0
1.0,100,0.0,0.0,500,68.19711755697084,0.5,-6.669267965726856,0.0
1.0,300,0.0,0.004,500,182.5350476615109,0.5,-3.5581469792850458,0.004
1.0,500,0.0,0.014,500,320.33555594491463,0.5,-1.8840330736676139,0.014
2.0,100,0.0,0.074,500,1339.246666704799,0.5,2.426761773589855,0.074
2.0,300,0.0,0.192,500,6193.477973948368,0.5,6.24481915802878,0.192
2.0,500,0.0,0.262,500,11201.703516336605,0.5,7.912464623172399,0.262
