data_range,n_samples,theoretical_prob,empirical_prob,trials_used,discriminability,lambda_sigma_ratio,log_gram_det,discrepancy
0.1,100,0.0,0.0,500,0.00011857238513077291,0.5,-46.73656458730365,0.0
0.1,300,0.0,0.0,500,0.0002636094087756283,0.5,-43.76488431261894,0.0
0.1,500,0.0,0.0,500,0.00048567835613737655,0.5,-42.08611107233509,0.0
1.0,100,0.0,0.0,500,76.96232400048115,0.5,-6.60164175711253,0.0
1.0,300,0.0,0.0,500,175.0507952787851,0.5,-3.5551511631915114,0.0
1.0,500,0.0,0.006,500,350.0793884913218,0.5,-1.848990555680289,0.006
2.0,100,0.0,0.066,500,1745.7782422188652,0.5,2.6343489882512148,0.066
2.0,300,0.0,0.2,500,6941.231076650294,0.5,6.430454681717666,0.2
2.0,500,0.0,0.28,500,10149.521737212908,0.5,7.827694974518959,0.28
