data_range,n_samples,theoretical_prob,empirical_prob,trials_used,discriminability,lambda_sigma_ratio,log_gram_det,discrepancy
0.1,100,0.0,0.0,500,0.0001243753528005162,0.5,-46.77886760495661,0.0
0.1,300,0.0,0.0,500,0.0003319729423130896,0.5,-43.32883038597434,0.0
0.1,500,0.0,0.0,500,0.0005326915346042375,0.5,-41.96974890914676,0.0
1.0,100,0.0,0.002,500,61.624646093700015,0.5,-6.707651606721312,0.002
1.0,300,0.0,0.006,500,207.84644234218626,0.5,-3.345394920778431,0.006
1.0,500,0.0,0.01,500,310.1336950360557,0.5,-1.9627649713146216,0.01
2.0,100,0.0,0.078,500,2273.0267083032095,0.5,3.20062977893171,0.078
2.0,300,0.0,0.162,500,6209.086820667396,0.5,6.135105865979135,0.162
2.0,500,0.0,0.27,500,10484.823966271393,0.5,7.801773855630503,0.27
