data_range,n_samples,theoretical_prob,empirical_prob,trials_used,discriminability,lambda_sigma_ratio,log_gram_det,discrepancy
0.1,100,0.0,0.0,500,0.00011040622798049973,0.5,-46.810760205964904,0.0
0.1,300,0.0,0.0,500,0.0003149964691911505,0.5,-43.40982762587778,0.0
0.1,500,0.0,0.0,500,0.0004308326351059831,0.5,-42.42229472197126,0.0
1.0,100,0.0,0.004,500,64.67591952393332,0.5,-6.763100488809778,0.004
1.0,300,0.0,0.0,500,202.25977761878514,0.5,-3.4548137965124717,0.0
1.0,500,0.0,0.006,500,351.4953673094344,0.5,-1.862364662517411,0.006
2.0,100,0.0,0.102,500,1765.4044597202453,0.5,2.8315395024004486,0.102
2.0,300,0.0,0.19,500,6079.040516767316,0.5,6.469632454309152,0.19
2.0,500,0.0,0.222,500,10320.46323381338,0.5,7.821219578768846,0.222
