data_range,n_samples,theoretical_prob,empirical_prob,trials_used,discriminability,lambda_sigma_ratio,log_gram_det,discrepancy
0.1,100,0.0,0.0,500,0.0001070266029553312,0.5,-47.07443106789553,0.0
0.1,300,0.0,0.0,500,0.00026694378993828585,0.5,-43.81941886357189,0.0
0.1,500,0.0,0.0,500,0.0004613548911426105,0.5,-42.25936194402517,0.0
1.0,100,0.0,0.004,500,46.28411977347938,0.5,-7.570444983631646,0.004
1.0,300,0.0,0.004,500,208.04568720820393,0.5,-3.508912653664592,0.004
1.0,500,0.0,0.004,500,310.89730859187677,0.5,-2.0453738809866824,0.004
2.0,100,0.0,0.088,500,2178.995322405732,0.5,2.8901663164655607,0.088
2.0,300,0.0,0.182,500,5571.695537878082,0.5,6.184485746934616,0.182
2.0,500,0.0,0.276,500,9796.950075357116,0.5,7.622390364249734,0.276
